Year,"Fuel Type","Number of Vehicles","Weight Class","Vehicle Type","Engine Configuration"
2017,"Liquefied Petroleum Gas (LPG)",1,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10,000 lbs)",Dedicated
2017,"Liquefied Petroleum Gas (LPG)",4,"Medium Duty","Pickup Trucks",Dedicated
2017,"Liquefied Petroleum Gas (LPG)",20,"Heavy Duty","Buses (Transit Buses)",Dedicated
2017,"Liquefied Petroleum Gas (LPG)",143,"Heavy Duty","Other Trucks",Dedicated
2017,"Liquefied Petroleum Gas (LPG)",4,"Heavy Duty","Buses (Transit Buses)",Nondedicated
2017,"Liquefied Petroleum Gas (LPG)",1,"Heavy Duty","Other Trucks",Nondedicated
2017,"Liquefied Petroleum Gas (LPG)",200,"Heavy Duty","Buses (School Buses)",Dedicated
2017,"Liquefied Petroleum Gas (LPG)",14,"Heavy Duty","Other Trucks",Dedicated
2017,"Liquefied Petroleum Gas (LPG)",27,"Light Duty","Pickup Trucks (Pickups < 8,500 lbs)",Nondedicated
2017,"Liquefied Petroleum Gas (LPG)",5,"Light Duty","Other Trucks (Trucks < 8,500 lbs)",Nondedicated
2017,"Liquefied Petroleum Gas (LPG)",6,"Light Duty","Pickup Trucks (Pickups < 8,500 lbs)",Dedicated
2017,"Liquefied Petroleum Gas (LPG)",12,"Medium Duty","Pickup Trucks",Nondedicated
2017,"Liquefied Petroleum Gas (LPG)",6,"Medium Duty","Other Trucks",Nondedicated
2017,"Liquefied Petroleum Gas (LPG)",4,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10,000 lbs)",Nondedicated
2017,"Liquefied Petroleum Gas (LPG)",2008,"Heavy Duty","Buses (School Buses)",Dedicated
2016,"Liquefied Petroleum Gas (LPG)",17,"Medium Duty","Pickup Trucks",Nondedicated
2016,"Liquefied Petroleum Gas (LPG)",10,"Light Duty","Pickup Trucks (Pickups < 8,500 lbs)",Dedicated
2016,"Liquefied Petroleum Gas (LPG)",52,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10,000 lbs)",Nondedicated
2016,"Liquefied Petroleum Gas (LPG)",4,"Medium Duty","Pickup Trucks",Dedicated
2016,"Liquefied Petroleum Gas (LPG)",5,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10,000 lbs)",Dedicated
2016,"Liquefied Petroleum Gas (LPG)",1968,"Heavy Duty","Buses (School Buses)",Dedicated
2016,"Liquefied Petroleum Gas (LPG)",36,"Heavy Duty","Buses (Transit Buses)",Dedicated
2016,"Liquefied Petroleum Gas (LPG)",310,"Heavy Duty","Other Trucks",Dedicated
2016,"Liquefied Petroleum Gas (LPG)",3,"Heavy Duty","Buses (Transit Buses)",Nondedicated
2016,"Liquefied Petroleum Gas (LPG)",17,"Heavy Duty","Buses (Transit Buses)",Nondedicated
2016,"Liquefied Petroleum Gas (LPG)",1,"Heavy Duty","Other Trucks",Nondedicated
2016,"Liquefied Petroleum Gas (LPG)",14,"Heavy Duty","Other Trucks",Dedicated
2016,"Liquefied Petroleum Gas (LPG)",19,"Light Duty","Pickup Trucks (Pickups < 8,500 lbs)",Nondedicated
2016,"Liquefied Petroleum Gas (LPG)",1,"Light Duty","Other Trucks (SUVs < 8,500 lbs)",Nondedicated
2016,"Liquefied Petroleum Gas (LPG)",8,"Light Duty","Other Trucks (Trucks < 8,500 lbs)",Nondedicated
2016,"Liquefied Petroleum Gas (LPG)",5,"Medium Duty","Other Trucks",Nondedicated
2015,"Liquefied Petroleum Gas (LPG)",6,"Heavy Duty","Buses (Transit Buses)",Nondedicated
2015,"Liquefied Petroleum Gas (LPG)",132,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10,000 lbs)",Dedicated
2015,"Liquefied Petroleum Gas (LPG)",5,"Heavy Duty","Other Trucks",Nondedicated
2015,"Liquefied Petroleum Gas (LPG)",8,"Heavy Duty","Buses (School Buses)",Dedicated
2015,"Liquefied Petroleum Gas (LPG)",14,"Heavy Duty","Other Trucks",Dedicated
2015,"Liquefied Petroleum Gas (LPG)",13,"Light Duty","Pickup Trucks (Pickups < 8,500 lbs)",Nondedicated
2015,"Liquefied Petroleum Gas (LPG)",1,"Light Duty","Other Trucks (SUVs < 8,500 lbs)",Nondedicated
2015,"Liquefied Petroleum Gas (LPG)",8,"Light Duty","Other Trucks (Trucks < 8,500 lbs)",Nondedicated
2015,"Liquefied Petroleum Gas (LPG)",150,"Light Duty","Automobiles (Fullsize)",Dedicated
2015,"Liquefied Petroleum Gas (LPG)",31,"Medium Duty","Pickup Trucks",Nondedicated
2015,"Liquefied Petroleum Gas (LPG)",6,"Medium Duty","Other Trucks",Nondedicated
2015,"Liquefied Petroleum Gas (LPG)",48,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10,000 lbs)",Nondedicated
2015,"Liquefied Petroleum Gas (LPG)",4,"Medium Duty","Pickup Trucks",Dedicated
2015,"Liquefied Petroleum Gas (LPG)",2,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10,000 lbs)",Dedicated
2015,"Liquefied Petroleum Gas (LPG)",1793,"Heavy Duty","Buses (School Buses)",Dedicated
2015,"Liquefied Petroleum Gas (LPG)",16,"Heavy Duty","Buses (Transit Buses)",Dedicated
2015,"Liquefied Petroleum Gas (LPG)",11,"Heavy Duty","Buses (Transit Buses)",Nondedicated
2014,"Liquefied Petroleum Gas (LPG)",30,"Medium Duty","Pickup Trucks",Nondedicated
2014,"Liquefied Petroleum Gas (LPG)",8,"Medium Duty","Other Trucks",Nondedicated
2014,"Liquefied Petroleum Gas (LPG)",10,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10000 lbs)",Nondedicated
2014,"Liquefied Petroleum Gas (LPG)",2,"Medium Duty","Other Trucks",Dedicated
2014,"Liquefied Petroleum Gas (LPG)",1444,"Heavy Duty","Buses (School Buses)",Dedicated
2014,"Liquefied Petroleum Gas (LPG)",150,"Light Duty","Automobiles (Fullsize)",Dedicated
2014,"Liquefied Petroleum Gas (LPG)",2,"Heavy Duty","Other Trucks",Nondedicated
2014,"Liquefied Petroleum Gas (LPG)",8,"Heavy Duty","Buses (School Buses)",Dedicated
2014,"Liquefied Petroleum Gas (LPG)",3,"Heavy Duty","Other Trucks",Dedicated
2014,"Liquefied Petroleum Gas (LPG)",31,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Nondedicated
2014,"Liquefied Petroleum Gas (LPG)",1,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Nondedicated
2014,"Liquefied Petroleum Gas (LPG)",19,"Heavy Duty","Other Trucks",Dedicated
2013,"Liquefied Petroleum Gas (LPG)",5,"Heavy Duty","Buses (Intercity Buses)",Dedicated
2013,"Liquefied Petroleum Gas (LPG)",65,"Heavy Duty","Buses (Intercity Buses)",Nondedicated
2013,"Liquefied Petroleum Gas (LPG)",1,"Light Duty","Automobiles (Midsize)",Nondedicated
2013,"Liquefied Petroleum Gas (LPG)",140,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Nondedicated
2013,"Liquefied Petroleum Gas (LPG)",5,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Nondedicated
2013,"Liquefied Petroleum Gas (LPG)",40,"Light Duty","Other Trucks (Trucks < 8500 lbs)",Nondedicated
2013,"Liquefied Petroleum Gas (LPG)",300,"Light Duty","Automobiles (Fullsize)",Dedicated
2013,"Liquefied Petroleum Gas (LPG)",108,"Medium Duty","Pickup Trucks",Nondedicated
2013,"Liquefied Petroleum Gas (LPG)",8,"Medium Duty","Other Trucks",Nondedicated
2013,"Liquefied Petroleum Gas (LPG)",38,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10000 lbs)",Nondedicated
2013,"Liquefied Petroleum Gas (LPG)",1,"Medium Duty","Pickup Trucks",Dedicated
2013,"Liquefied Petroleum Gas (LPG)",1953,"Heavy Duty","Buses (School Buses)",Dedicated
2013,"Liquefied Petroleum Gas (LPG)",9,"Heavy Duty","Buses (Transit Buses)",Dedicated
2013,"Liquefied Petroleum Gas (LPG)",19,"Heavy Duty","Other Trucks",Dedicated
2013,"Liquefied Petroleum Gas (LPG)",8,"Heavy Duty","Buses (School Buses)",Dedicated
2012,"Liquefied Petroleum Gas (LPG)",65,"Heavy Duty","Buses (Intercity Buses)",Nondedicated
2012,"Liquefied Petroleum Gas (LPG)",9,"Heavy Duty","Buses (Transit Buses)",Dedicated
2012,"Liquefied Petroleum Gas (LPG)",2,"Heavy Duty","Other Trucks",Nondedicated
2012,"Liquefied Petroleum Gas (LPG)",5,"Heavy Duty","Buses (Intercity Buses)",Dedicated
2012,"Liquefied Petroleum Gas (LPG)",33,"Heavy Duty","Buses (School Buses)",Dedicated
2012,"Liquefied Petroleum Gas (LPG)",105,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Nondedicated
2012,"Liquefied Petroleum Gas (LPG)",7,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Nondedicated
2012,"Liquefied Petroleum Gas (LPG)",40,"Light Duty","Other Trucks (Trucks < 8500 lbs)",Nondedicated
2012,"Liquefied Petroleum Gas (LPG)",150,"Light Duty","Automobiles (Fullsize)",Dedicated
2012,"Liquefied Petroleum Gas (LPG)",70,"Medium Duty","Pickup Trucks",Nondedicated
2012,"Liquefied Petroleum Gas (LPG)",4,"Medium Duty","Other Trucks",Nondedicated
2012,"Liquefied Petroleum Gas (LPG)",48,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10000 lbs)",Nondedicated
2012,"Liquefied Petroleum Gas (LPG)",1,"Medium Duty","Pickup Trucks",Dedicated
2012,"Liquefied Petroleum Gas (LPG)",590,"Heavy Duty","Buses (School Buses)",Dedicated
2012,"Liquefied Petroleum Gas (LPG)",5,"Heavy Duty","Buses (Transit Buses)",Nondedicated
2011,"Liquefied Petroleum Gas (LPG)",65,"Heavy Duty","Buses (Intercity Buses)",Nondedicated
2011,"Liquefied Petroleum Gas (LPG)",9,"Heavy Duty","Buses (Transit Buses)",Dedicated
2011,"Liquefied Petroleum Gas (LPG)",5,"Heavy Duty","Buses (Intercity Buses)",Dedicated
2011,"Liquefied Petroleum Gas (LPG)",33,"Heavy Duty","Buses (School Buses)",Dedicated
2011,"Liquefied Petroleum Gas (LPG)",9,"Heavy Duty","Buses (Transit Buses)",Dedicated
2011,"Liquefied Petroleum Gas (LPG)",12,"Light Duty","Automobiles (Fullsize)",Nondedicated
2011,"Liquefied Petroleum Gas (LPG)",126,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Nondedicated
2011,"Liquefied Petroleum Gas (LPG)",6,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Nondedicated
2011,"Liquefied Petroleum Gas (LPG)",40,"Light Duty","Other Trucks (Trucks < 8500 lbs)",Nondedicated
2011,"Liquefied Petroleum Gas (LPG)",2,"Light Duty","Vans (Passenger/Cargo Vans < 8500 lbs)",Nondedicated
2011,"Liquefied Petroleum Gas (LPG)",150,"Light Duty","Automobiles (Fullsize)",Dedicated
2011,"Liquefied Petroleum Gas (LPG)",59,"Medium Duty","Pickup Trucks",Nondedicated
2011,"Liquefied Petroleum Gas (LPG)",40,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10000 lbs)",Nondedicated
2011,"Liquefied Petroleum Gas (LPG)",1,"Medium Duty","Pickup Trucks",Dedicated
2011,"Liquefied Petroleum Gas (LPG)",496,"Heavy Duty","Buses (School Buses)",Dedicated
2011,"Liquefied Petroleum Gas (LPG)",1,"Heavy Duty","Other Trucks",Nondedicated
2010,"Liquefied Petroleum Gas (LPG)",3,"Light Duty","Automobiles (Fullsize)",Nondedicated
2010,"Liquefied Petroleum Gas (LPG)",90,"Light Duty","Vans (Small Passenger Vans)",Nondedicated
2010,"Liquefied Petroleum Gas (LPG)",17,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Nondedicated
2010,"Liquefied Petroleum Gas (LPG)",36,"Light Duty","Other Trucks (Trucks < 8500 lbs)",Nondedicated
2010,"Liquefied Petroleum Gas (LPG)",367,"Heavy Duty","Buses (School Buses)",Dedicated
2010,"Liquefied Petroleum Gas (LPG)",86,"Medium Duty","Pickup Trucks",Nondedicated
2010,"Liquefied Petroleum Gas (LPG)",1,"Medium Duty","Other Trucks",Nondedicated
2010,"Liquefied Petroleum Gas (LPG)",1,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10000 lbs)",Nondedicated
2010,"Liquefied Petroleum Gas (LPG)",1,"Medium Duty","Pickup Trucks",Dedicated
2010,"Liquefied Petroleum Gas (LPG)",145,"Light Duty","Automobiles (Fullsize)",Dedicated
2009,"Liquefied Petroleum Gas (LPG)",1,"Heavy Duty","Buses (School Buses)",Nondedicated
2009,"Liquefied Petroleum Gas (LPG)",20,"Heavy Duty","Other Trucks",Dedicated
2009,"Liquefied Petroleum Gas (LPG)",10,"Light Duty","Automobiles (Fullsize)",Nondedicated
